product_description,category,price,customer_age,is_member,treatment,outcome
"Generic lemon scented dish soap, standard 500ml squeeze bottle",home,3.12,37,1,1,12.37
"Luxury silk scarf, limited edition botanical pattern by artisan designer",accessories,103.52,64,1,0,111.38
"Standard aluminum foil roll, 30 feet household grade",home,3.53,39,1,1,6.67
"Basic college ruled spiral notebook, 70 sheets perforated pages",accessories,2.14,62,0,0,1.93
"Fine Italian merino wool crew neck sweater, sustainable dye",clothing,209.32,28,1,0,203.59
"Standard plastic measuring cup set, four piece nested",home,6.22,23,1,1,26.83
"Artisan sourdough loaf, stone baked with ancient grain flour",food,8.03,20,0,1,20.78
"Pre-sliced white sandwich bread, standard enriched loaf",food,2.21,18,1,1,11.01
"Ceremonial grade Japanese matcha powder, stone ground Uji region",food,48.11,20,1,0,52.68
"Handmade ceramic mug, unique wood-fired glaze by local potter",home,48.04,61,1,1,62.33
"Clear plastic food storage container set, snap lid microwave safe",home,6.81,34,1,1,25.55
"Handmade pure beeswax candles, lavender and eucalyptus infused",home,28.88,24,1,0,32.58
"Standard plastic measuring cup set, four piece nested",home,4.13,37,1,1,21.4
"Premium Qi wireless charger, vegan leather surface fast charge",electronics,66.52,45,0,0,78.89
"Artisan bronze-die extruded pasta variety, imported Italian semolina",food,22.69,37,1,0,27.88
"Clear plastic shower curtain liner, standard size with rings",home,5.41,41,0,1,16.27
"Generic drawstring tall kitchen trash bags, 30 count roll",home,5.18,39,0,1,13.19
"Budget wired earbuds, basic stereo sound with inline mic",electronics,9.21,50,1,0,17.99
"White unprinted paper napkins, two ply bulk pack of 200",home,4.25,51,1,1,20.15
"Designer sunglasses, polarized titanium frame UV protection",accessories,200.39,25,0,0,197.21
"Standard plastic clothes hangers, adult size pack of 10",home,4.63,21,0,1,21.84
"Handwoven sustainable rattan storage basket, fair trade certified",home,34.04,22,0,0,33.05
"Artisan smoked sea salt collection, applewood and hickory varieties",food,28.73,38,0,1,32.1
"Artisan sourdough loaf, stone baked with ancient grain flour",food,7.79,37,0,1,22.58
"Ceremonial grade Japanese matcha powder, stone ground Uji region",food,36.65,69,0,1,53.57
"Clear plastic food storage container set, snap lid microwave safe",home,8.21,23,0,0,10.96
"Store brand orange juice from concentrate, standard carton",food,3.0,25,0,1,13.07
"Generic alkaline AA batteries, standard pack of eight",electronics,5.99,29,1,1,16.09
"High-end noise cancelling headphones, studio quality 40hr battery",electronics,241.18,46,0,1,258.59
"Generic fluoride mint toothpaste, standard 150ml tube",accessories,2.29,31,1,0,8.97
"Premium Qi wireless charger, vegan leather surface fast charge",electronics,61.96,41,1,0,58.31
"Basic heat resistant silicone spatula, single piece design",home,3.36,44,1,1,15.88
"Handmade ceramic mug, unique wood-fired glaze by local potter",home,31.93,54,1,0,39.13
"Simple BPA-free plastic water bottle, twist cap 500ml",accessories,5.77,27,0,0,12.16
"Basic blue ink ballpoint pens, medium tip pack of 12",accessories,2.53,51,1,1,19.5
"Disposable white paper cups, standard 8oz pack of 50",home,4.87,49,1,0,8.81
"Simple BPA-free plastic water bottle, twist cap 500ml",accessories,5.42,25,1,1,22.86
"Basic foam sole flip flops, solid color unisex design",clothing,4.23,40,1,0,8.21
"Generic lemon scented dish soap, standard 500ml squeeze bottle",home,3.78,68,1,1,20.23
"Natural Belgian linen tablecloth, hand-hemmed edges",home,130.14,57,0,0,145.45
"Basic white cotton washcloth, standard size single pack",home,2.16,64,0,0,14.57
"Generic snap-on phone case, standard universal fit clear",electronics,6.7,59,1,1,22.55
"Standard plastic measuring cup set, four piece nested",home,4.98,65,0,1,14.65
"Plain polyester ankle socks, value multipack of six pairs",clothing,6.41,47,1,1,19.32
"Handwoven sustainable rattan storage basket, fair trade certified",home,42.29,42,1,1,56.74
"Basic blue ink ballpoint pens, medium tip pack of 12",accessories,2.69,60,0,0,15.57
"Multi-color kitchen sponge pack, dual-sided pack of six",home,2.66,36,0,1,17.12
"Basic white cotton washcloth, standard size single pack",home,2.15,19,1,0,1.6
"Basic college ruled spiral notebook, 70 sheets perforated pages",accessories,2.32,23,0,1,17.9
"Basic foam sole flip flops, solid color unisex design",clothing,5.06,49,1,1,15.58
"Artisan dark chocolate box, single origin Ecuadorian cacao 72%",food,49.27,26,0,1,60.93
"Artisan sourdough loaf, stone baked with ancient grain flour",food,8.64,35,0,1,11.68
"Basic college ruled spiral notebook, 70 sheets perforated pages",accessories,2.31,23,0,1,12.41
"Organic single origin Ethiopian coffee beans, light roast notes of blueberry",food,23.98,57,0,0,30.06
"Luxury hand-poured soy candle, wild fig and cassis scent",home,59.09,63,0,0,65.23
"Generic alkaline AA batteries, standard pack of eight",electronics,5.14,30,1,1,22.45
"Organic single origin Ethiopian coffee beans, light roast notes of blueberry",food,18.44,41,1,1,36.14
"Designer sunglasses, polarized titanium frame UV protection",accessories,224.52,62,1,0,208.36
"Disposable white paper cups, standard 8oz pack of 50",home,3.53,65,1,0,5.17
"Ceremonial grade Japanese matcha powder, stone ground Uji region",food,40.33,59,0,1,58.22
"Clear stackable plastic storage bin, medium size with lid",home,8.38,18,1,1,23.52
"Multi-color kitchen sponge pack, dual-sided pack of six",home,3.67,49,1,1,19.42
"Handmade pure beeswax candles, lavender and eucalyptus infused",home,37.35,25,0,0,38.08
"Store brand orange juice from concentrate, standard carton",food,2.63,36,0,1,22.91
"Fine Italian merino wool crew neck sweater, sustainable dye",clothing,193.4,49,0,0,202.84
"Budget wired earbuds, basic stereo sound with inline mic",electronics,6.62,46,0,1,17.59
"Luxury Egyptian cotton bath towel set, 800gsm hotel quality",home,86.9,69,0,1,102.05
"Ceremonial grade Japanese matcha powder, stone ground Uji region",food,44.6,37,0,0,48.8
"Luxury silk scarf, limited edition botanical pattern by artisan designer",accessories,151.02,45,1,0,167.26
"White unprinted paper napkins, two ply bulk pack of 200",home,4.78,52,1,1,23.89
"Soft two-ply facial tissues, standard box of 160 sheets",home,2.68,26,0,1,22.26
"Generic lemon scented dish soap, standard 500ml squeeze bottle",home,3.34,23,1,1,18.8
"Clear plastic food storage container set, snap lid microwave safe",home,10.08,31,0,1,23.56
"Standard plastic measuring cup set, four piece nested",home,6.1,38,0,1,13.21
"Pre-sliced white sandwich bread, standard enriched loaf",food,2.21,19,1,1,20.92
"Artisan sourdough loaf, stone baked with ancient grain flour",food,10.09,39,0,0,15.93
"Luxury silk scarf, limited edition botanical pattern by artisan designer",accessories,141.58,19,1,0,141.54
"Luxury hand-poured soy candle, wild fig and cassis scent",home,48.43,51,1,0,62.62
"Heritage pre-seasoned cast iron skillet, triple-coated surface",home,57.91,22,0,1,72.96
"Handwoven sustainable rattan storage basket, fair trade certified",home,38.11,30,1,1,42.59
"Ceremonial grade Japanese matcha powder, stone ground Uji region",food,31.97,68,1,0,43.04
"Generic fluoride mint toothpaste, standard 150ml tube",accessories,2.13,43,0,1,19.59
"Organic cold pressed green juice, turmeric ginger daily blend",food,12.74,55,0,1,20.23
"Artisan sourdough loaf, stone baked with ancient grain flour",food,10.91,46,1,1,20.67
"Luxury hand-poured soy candle, wild fig and cassis scent",home,45.55,31,0,0,43.22
"Budget wired earbuds, basic stereo sound with inline mic",electronics,8.4,50,1,0,15.45
"Artisan dark chocolate box, single origin Ecuadorian cacao 72%",food,44.12,60,0,0,46.4
"Basic white cotton washcloth, standard size single pack",home,2.25,67,0,1,18.79
"Handwoven sustainable rattan storage basket, fair trade certified",home,46.51,51,1,1,49.54
"Plain polyester ankle socks, value multipack of six pairs",clothing,7.4,28,0,1,18.1
"Pre-sliced white sandwich bread, standard enriched loaf",food,2.36,61,0,1,18.76
"Artisan bronze-die extruded pasta variety, imported Italian semolina",food,21.09,22,0,0,13.47
"Designer sunglasses, polarized titanium frame UV protection",accessories,222.94,64,1,0,212.42
"Store brand orange juice from concentrate, standard carton",food,2.43,46,0,1,8.6
"Premium leather wallet, handcrafted Italian design with gold stitching",accessories,91.87,32,0,1,104.89
"Generic alkaline AA batteries, standard pack of eight",electronics,5.41,24,1,1,23.43
"White unprinted paper napkins, two ply bulk pack of 200",home,4.93,24,1,0,8.76
"Basic blue ink ballpoint pens, medium tip pack of 12",accessories,2.55,60,0,0,9.39
"Simple BPA-free plastic water bottle, twist cap 500ml",accessories,4.34,49,1,1,18.19
"Luxury silk scarf, limited edition botanical pattern by artisan designer",accessories,107.1,65,1,0,117.5
"Heritage pre-seasoned cast iron skillet, triple-coated surface",home,73.09,64,1,1,84.85
"Generic drawstring tall kitchen trash bags, 30 count roll",home,5.68,28,1,1,21.58
"Artisan raw wildflower honey collection, three regional varieties",food,40.41,42,0,0,40.08
"Heritage pre-seasoned cast iron skillet, triple-coated surface",home,76.7,59,1,0,73.61
"Ceremonial grade Japanese matcha powder, stone ground Uji region",food,46.71,40,1,0,41.08
"White unprinted paper napkins, two ply bulk pack of 200",home,3.21,40,0,1,11.86
"Organic cold pressed green juice, turmeric ginger daily blend",food,15.09,54,0,1,22.96
"Ceremonial grade Japanese matcha powder, stone ground Uji region",food,39.76,25,1,0,47.3
"Premium leather wallet, handcrafted Italian design with gold stitching",accessories,70.15,61,0,1,81.38
"Bespoke leather journal, hand stitched with archival cotton paper",accessories,63.19,47,1,0,84.4
"Artisan sourdough loaf, stone baked with ancient grain flour",food,10.53,32,0,1,26.83
"Multi-color kitchen sponge pack, dual-sided pack of six",home,3.12,40,0,1,12.74
"Heritage pre-seasoned cast iron skillet, triple-coated surface",home,74.67,43,0,1,86.95
"Basic heat resistant silicone spatula, single piece design",home,4.23,19,1,1,26.39
"Artisan sourdough loaf, stone baked with ancient grain flour",food,8.91,36,0,1,19.61
"Artisan bronze-die extruded pasta variety, imported Italian semolina",food,22.61,67,1,0,35.35
"Luxury hand-poured soy candle, wild fig and cassis scent",home,65.02,48,0,0,76.7
"Hand blown borosilicate glass vase, contemporary geometric design",home,85.16,40,1,1,91.75
"Simple BPA-free plastic water bottle, twist cap 500ml",accessories,4.41,33,0,1,16.92
"Artisan raw wildflower honey collection, three regional varieties",food,40.77,65,0,0,57.2
"Luxury hand-poured soy candle, wild fig and cassis scent",home,57.42,35,0,1,70.57
"Generic lemon scented dish soap, standard 500ml squeeze bottle",home,3.7,67,0,1,10.14
"Generic instant coffee, standard freeze-dried blend 200g jar",food,4.37,36,1,1,19.87
"Premium Qi wireless charger, vegan leather surface fast charge",electronics,50.8,67,1,0,62.56
"Artisan sourdough loaf, stone baked with ancient grain flour",food,10.04,34,0,1,15.47
"Designer sunglasses, polarized titanium frame UV protection",accessories,259.46,46,1,0,241.94
"Multi-color kitchen sponge pack, dual-sided pack of six",home,2.68,44,1,1,23.22
"Generic snap-on phone case, standard universal fit clear",electronics,6.58,29,1,1,27.21
"Estate bottled extra virgin olive oil, cold extracted Tuscan blend",food,34.86,56,0,0,41.48
"Luxury hand-poured soy candle, wild fig and cassis scent",home,57.06,32,1,1,81.3
"Basic college ruled spiral notebook, 70 sheets perforated pages",accessories,1.71,43,0,0,6.38
"Plain polyester ankle socks, value multipack of six pairs",clothing,6.39,34,0,0,1
"Artisan dark chocolate box, single origin Ecuadorian cacao 72%",food,41.39,43,1,0,32.91
"Ceremonial grade Japanese matcha powder, stone ground Uji region",food,35.93,43,1,1,60.53
"Luxury hand-poured soy candle, wild fig and cassis scent",home,52.19,50,1,0,47.52
"Basic heat resistant silicone spatula, single piece design",home,4.37,57,1,1,29.15
"Luxury hand-poured soy candle, wild fig and cassis scent",home,61.07,39,1,1,81.27
"Mulberry silk padded sleep mask, adjustable elastic headband",accessories,35.29,47,0,0,40.59
"Generic drawstring tall kitchen trash bags, 30 count roll",home,5.02,23,0,1,18.56
"Handmade ceramic mug, unique wood-fired glaze by local potter",home,45.45,65,1,0,41.57
"Basic foam sole flip flops, solid color unisex design",clothing,3.33,48,0,1,17.01
"Natural Belgian linen tablecloth, hand-hemmed edges",home,128.22,68,1,1,138.17
"Mulberry silk padded sleep mask, adjustable elastic headband",accessories,42.23,44,0,1,49.45
"Premium ultrasonic essential oil diffuser, sustainable bamboo housing",home,61.15,63,0,0,56.29
"Basic college ruled spiral notebook, 70 sheets perforated pages",accessories,2.1,60,1,1,16.09
"Natural Belgian linen tablecloth, hand-hemmed edges",home,118.48,65,1,0,138.58
"White unprinted paper napkins, two ply bulk pack of 200",home,3.64,25,0,0,12.46
"Basic latex exercise band, light resistance single band",fitness,4.75,44,1,1,19.75
"Ceremonial grade Japanese matcha powder, stone ground Uji region",food,35.36,66,0,0,38.78
"Standard plastic measuring cup set, four piece nested",home,5.63,44,0,1,14.07
"Natural Belgian linen tablecloth, hand-hemmed edges",home,119.54,54,1,0,133.45
"Generic instant coffee, standard freeze-dried blend 200g jar",food,5.83,70,1,1,28.13
"Bespoke leather journal, hand stitched with archival cotton paper",accessories,59.76,68,1,1,71.79
"Generic snap-on phone case, standard universal fit clear",electronics,6.93,32,0,0,14.27
"Standard aluminum foil roll, 30 feet household grade",home,2.6,59,1,1,10.91
"Basic white cotton washcloth, standard size single pack",home,2.26,52,1,1,22.34
"Generic instant coffee, standard freeze-dried blend 200g jar",food,5.07,28,0,1,23.97
"Handmade ceramic mug, unique wood-fired glaze by local potter",home,43.31,42,1,1,60.09
"Handwoven sustainable rattan storage basket, fair trade certified",home,41.15,44,0,0,41.2
"Biodegradable bamboo toothbrush set, charcoal infused soft bristles",accessories,10.91,30,0,0,11.49
"Standard plastic clothes hangers, adult size pack of 10",home,3.73,63,0,1,23.3
"Artisan bronze-die extruded pasta variety, imported Italian semolina",food,16.69,46,1,1,31.34
"Basic white cotton washcloth, standard size single pack",home,2.15,21,1,1,16.08
"Luxury silk scarf, limited edition botanical pattern by artisan designer",accessories,141.16,35,1,0,127.93
"Hand blown borosilicate glass vase, contemporary geometric design",home,98.73,48,0,1,107.06
"Artisan raw wildflower honey collection, three regional varieties",food,28.76,63,0,0,32.0
"Basic white cotton washcloth, standard size single pack",home,2.07,60,0,1,17.46
"Soft two-ply facial tissues, standard box of 160 sheets",home,3.45,26,0,1,14.15
"Premium leather wallet, handcrafted Italian design with gold stitching",accessories,93.6,34,1,0,87.36
"Premium Qi wireless charger, vegan leather surface fast charge",electronics,68.27,41,1,1,76.35
"High-end noise cancelling headphones, studio quality 40hr battery",electronics,372.6,43,1,0,387.0
"Artisan bronze-die extruded pasta variety, imported Italian semolina",food,17.91,57,0,0,27.88
"Handmade pure beeswax candles, lavender and eucalyptus infused",home,33.82,27,1,1,54.57
"Basic heat resistant silicone spatula, single piece design",home,4.65,24,1,1,8.65
"Mulberry silk padded sleep mask, adjustable elastic headband",accessories,31.1,41,1,0,39.18
"Generic instant coffee, standard freeze-dried blend 200g jar",food,5.49,53,0,0,10.33
"Luxury silk scarf, limited edition botanical pattern by artisan designer",accessories,111.47,49,0,0,115.16
"Handmade pure beeswax candles, lavender and eucalyptus infused",home,24.81,63,1,1,43.32
"Milk chocolate candy bar, standard size individually wrapped",food,2.24,48,0,1,26.45
"High-end noise cancelling headphones, studio quality 40hr battery",electronics,347.84,57,1,0,364.25
"Basic white cotton washcloth, standard size single pack",home,2.05,32,1,1,7.32
"Basic cotton crew neck t-shirt, everyday casual wear unisex",clothing,14.8,23,1,1,18.55
"Clear plastic shower curtain liner, standard size with rings",home,6.88,59,1,1,21.82
"Artisan dark chocolate box, single origin Ecuadorian cacao 72%",food,57.22,18,0,0,57.83
"Clear plastic food storage container set, snap lid microwave safe",home,8.59,62,0,1,20.99
"Luxury hand-poured soy candle, wild fig and cassis scent",home,52.21,23,0,1,56.35
"Estate bottled extra virgin olive oil, cold extracted Tuscan blend",food,34.97,62,1,1,53.27
"Budget wired earbuds, basic stereo sound with inline mic",electronics,8.23,23,0,0,12.56
"Artisan dark chocolate box, single origin Ecuadorian cacao 72%",food,41.69,62,1,1,57.84
"Hand blown borosilicate glass vase, contemporary geometric design",home,81.19,67,1,1,87.63
"Milk chocolate candy bar, standard size individually wrapped",food,2.09,43,1,1,13.12
"Basic blue ink ballpoint pens, medium tip pack of 12",accessories,2.69,60,0,0,1
"Generic lemon scented dish soap, standard 500ml squeeze bottle",home,3.82,26,0,1,13.02
"Artisan bronze-die extruded pasta variety, imported Italian semolina",food,16.42,19,1,1,22.41
"Standard plastic clothes hangers, adult size pack of 10",home,4.02,28,1,1,21.56
"Organic cold pressed green juice, turmeric ginger daily blend",food,13.54,41,0,0,11.72
"Plain polyester ankle socks, value multipack of six pairs",clothing,5.8,57,0,1,27.18
"Basic college ruled spiral notebook, 70 sheets perforated pages",accessories,2.11,64,1,1,17.65
"Generic alkaline AA batteries, standard pack of eight",electronics,4.98,24,0,0,7.68
"Handwoven sustainable rattan storage basket, fair trade certified",home,52.37,68,0,0,62.08
"Plain polyester ankle socks, value multipack of six pairs",clothing,5.44,25,1,1,21.62
"Clear stackable plastic storage bin, medium size with lid",home,7.15,35,0,1,26.21
"Artisan raw wildflower honey collection, three regional varieties",food,39.98,18,1,0,46.95
"Handmade ceramic mug, unique wood-fired glaze by local potter",home,35.22,38,1,0,46.4
"Organic cold pressed green juice, turmeric ginger daily blend",food,14.99,56,0,1,31.29
"Basic college ruled spiral notebook, 70 sheets perforated pages",accessories,2.12,56,1,0,3.2
"Organic cold pressed green juice, turmeric ginger daily blend",food,17.11,27,1,1,24.4
"Artisan sourdough loaf, stone baked with ancient grain flour",food,7.42,26,0,1,17.86
"Premium leather wallet, handcrafted Italian design with gold stitching",accessories,101.79,49,0,0,110.57
"Luxury hand-poured soy candle, wild fig and cassis scent",home,44.55,32,0,0,56.67
"Handcrafted solid walnut end-grain cutting board, food safe oil",home,82.7,26,1,0,91.45
"Handwoven sustainable rattan storage basket, fair trade certified",home,48.22,24,0,1,62.73
"Standard plastic clothes hangers, adult size pack of 10",home,4.71,34,0,1,18.54
"Artisan dark chocolate box, single origin Ecuadorian cacao 72%",food,38.19,25,0,0,33.52
"Organic cold pressed green juice, turmeric ginger daily blend",food,13.37,66,1,1,32.32
"Basic cotton crew neck t-shirt, everyday casual wear unisex",clothing,13.67,52,0,1,21.61
"Ceremonial grade Japanese matcha powder, stone ground Uji region",food,41.43,32,0,1,52.56
"Artisan sourdough loaf, stone baked with ancient grain flour",food,10.05,18,1,1,28.36
"Heritage pre-seasoned cast iron skillet, triple-coated surface",home,62.23,37,0,1,87.71
"Artisan raw wildflower honey collection, three regional varieties",food,33.99,63,0,1,43.34
"Fine Italian merino wool crew neck sweater, sustainable dye",clothing,176.82,28,0,1,173.67
"Generic lemon scented dish soap, standard 500ml squeeze bottle",home,3.71,46,1,1,22.1
"Standard plastic clothes hangers, adult size pack of 10",home,4.74,33,0,1,13.27
"Generic snap-on phone case, standard universal fit clear",electronics,6.02,30,0,1,11.0
"Premium ultrasonic essential oil diffuser, sustainable bamboo housing",home,49.73,20,0,0,51.71
"Luxury silk scarf, limited edition botanical pattern by artisan designer",accessories,143.04,48,0,0,152.04
"Artisan bronze-die extruded pasta variety, imported Italian semolina",food,16.48,62,1,1,36.96
"Generic alkaline AA batteries, standard pack of eight",electronics,4.44,34,0,1,9.19
"Pre-sliced white sandwich bread, standard enriched loaf",food,2.57,61,1,1,22.07
"Artisan smoked sea salt collection, applewood and hickory varieties",food,27.39,56,0,1,39.64
"Generic drawstring tall kitchen trash bags, 30 count roll",home,4.98,61,1,1,24.27
"Generic drawstring tall kitchen trash bags, 30 count roll",home,5.12,19,1,1,13.14
"Basic blue ink ballpoint pens, medium tip pack of 12",accessories,2.53,45,0,1,28.19
"Clear plastic shower curtain liner, standard size with rings",home,5.01,53,0,1,28.4
"Store brand orange juice from concentrate, standard carton",food,3.11,64,1,1,20.6
"Ceremonial grade Japanese matcha powder, stone ground Uji region",food,38.31,45,0,0,40.64
"Artisan smoked sea salt collection, applewood and hickory varieties",food,28.99,37,1,0,28.11
"Biodegradable bamboo toothbrush set, charcoal infused soft bristles",accessories,11.74,22,0,1,19.12
"Bespoke leather journal, hand stitched with archival cotton paper",accessories,64.23,56,0,0,73.95
"Artisan bronze-die extruded pasta variety, imported Italian semolina",food,21.11,28,1,1,35.53
"Basic heat resistant silicone spatula, single piece design",home,4.18,68,0,1,25.45
"Disposable white paper cups, standard 8oz pack of 50",home,3.76,57,1,0,13.77
"Generic fluoride mint toothpaste, standard 150ml tube",accessories,2.44,37,0,1,17.82
"Premium vacuum insulated stainless steel bottle, keeps cold 24hr",accessories,51.27,36,0,0,55.12
"Mulberry silk padded sleep mask, adjustable elastic headband",accessories,37.12,35,0,1,50.16
"Premium vacuum insulated stainless steel bottle, keeps cold 24hr",accessories,38.95,30,1,1,50.42
"Designer sunglasses, polarized titanium frame UV protection",accessories,195.48,19,1,0,184.79
"Basic cotton crew neck t-shirt, everyday casual wear unisex",clothing,10.28,42,0,1,19.31
"Premium vacuum insulated stainless steel bottle, keeps cold 24hr",accessories,34.51,43,1,1,45.28
"Generic lemon scented dish soap, standard 500ml squeeze bottle",home,3.29,62,0,0,8.22
"Biodegradable bamboo toothbrush set, charcoal infused soft bristles",accessories,10.01,19,1,0,21.02
"Artisan raw wildflower honey collection, three regional varieties",food,34.2,41,0,1,57.08
"Organic cold pressed green juice, turmeric ginger daily blend",food,16.99,65,0,0,17.35
"Artisan raw wildflower honey collection, three regional varieties",food,36.99,54,0,0,40.3
"Budget wired earbuds, basic stereo sound with inline mic",electronics,7.75,50,0,0,23.16
"Designer sunglasses, polarized titanium frame UV protection",accessories,170.73,42,1,1,185.22
"Basic heat resistant silicone spatula, single piece design",home,5.08,23,1,0,4.4
"Standard plastic measuring cup set, four piece nested",home,5.64,24,1,0,6.33
"Store brand orange juice from concentrate, standard carton",food,3.41,30,1,1,9.21
"Luxury hand-poured soy candle, wild fig and cassis scent",home,50.12,66,1,0,60.73
"Luxury silk scarf, limited edition botanical pattern by artisan designer",accessories,109.97,45,1,0,117.08
"Generic instant coffee, standard freeze-dried blend 200g jar",food,5.83,24,1,1,17.32
"Generic drawstring tall kitchen trash bags, 30 count roll",home,4.01,37,0,0,12.65
"Artisan bronze-die extruded pasta variety, imported Italian semolina",food,21.36,48,0,0,21.93
"Pre-sliced white sandwich bread, standard enriched loaf",food,2.35,19,1,1,20.75
"Bespoke leather journal, hand stitched with archival cotton paper",accessories,75.75,49,0,0,84.41
"Mulberry silk padded sleep mask, adjustable elastic headband",accessories,43.2,41,0,1,56.67
"Artisan raw wildflower honey collection, three regional varieties",food,38.19,52,1,0,52.83
"Generic fluoride mint toothpaste, standard 150ml tube",accessories,1.83,60,1,0,7.17
"Artisan smoked sea salt collection, applewood and hickory varieties",food,27.19,65,1,1,56.36
"Natural Belgian linen tablecloth, hand-hemmed edges",home,119.8,48,0,0,126.04
"Premium leather wallet, handcrafted Italian design with gold stitching",accessories,73.32,32,0,1,79.33
"Budget wired earbuds, basic stereo sound with inline mic",electronics,7.98,57,1,0,10.21
"White unprinted paper napkins, two ply bulk pack of 200",home,3.99,62,1,1,28.76
"Generic snap-on phone case, standard universal fit clear",electronics,6.4,61,1,1,26.47
"Heritage pre-seasoned cast iron skillet, triple-coated surface",home,76.1,46,1,1,99.21
"Generic fluoride mint toothpaste, standard 150ml tube",accessories,2.4,21,1,1,16.0
"Generic fluoride mint toothpaste, standard 150ml tube",accessories,2.39,57,1,1,14.77
"White unprinted paper napkins, two ply bulk pack of 200",home,4.78,33,0,1,24.71
"Bespoke leather journal, hand stitched with archival cotton paper",accessories,58.48,68,0,0,70.95
"Artisan dark chocolate box, single origin Ecuadorian cacao 72%",food,55.97,48,1,0,62.31
"Basic white cotton washcloth, standard size single pack",home,1.69,63,1,1,17.57
"Generic lemon scented dish soap, standard 500ml squeeze bottle",home,2.72,55,1,0,6.53
"Premium vacuum insulated stainless steel bottle, keeps cold 24hr",accessories,32.55,40,0,0,37.81
"Handmade ceramic mug, unique wood-fired glaze by local potter",home,40.82,21,0,0,51.06
"Basic blue ink ballpoint pens, medium tip pack of 12",accessories,3.2,57,0,0,17.25
"Basic cotton crew neck t-shirt, everyday casual wear unisex",clothing,14.22,40,1,1,27.13
"Heritage pre-seasoned cast iron skillet, triple-coated surface",home,57.97,18,0,1,62.54
"Premium Qi wireless charger, vegan leather surface fast charge",electronics,69.58,29,0,0,71.48
"Premium ultrasonic essential oil diffuser, sustainable bamboo housing",home,62.26,19,0,1,67.89
"Organic single origin Ethiopian coffee beans, light roast notes of blueberry",food,22.92,20,1,1,36.73
"Basic foam sole flip flops, solid color unisex design",clothing,3.93,18,0,1,17.23
"Generic fluoride mint toothpaste, standard 150ml tube",accessories,1.82,62,0,0,19.18
"Simple BPA-free plastic water bottle, twist cap 500ml",accessories,5.36,61,0,1,23.37
"Basic cotton crew neck t-shirt, everyday casual wear unisex",clothing,14.84,33,1,1,30.85
"Soft two-ply facial tissues, standard box of 160 sheets",home,2.8,61,0,1,22.39
"Basic white cotton washcloth, standard size single pack",home,2.29,31,1,1,24.04
"Handcrafted solid walnut end-grain cutting board, food safe oil",home,93.89,23,1,0,107.98
"Biodegradable bamboo toothbrush set, charcoal infused soft bristles",accessories,10.68,25,1,1,21.49
"Designer sunglasses, polarized titanium frame UV protection",accessories,199.21,50,0,0,217.28
"Luxury silk scarf, limited edition botanical pattern by artisan designer",accessories,148.36,22,0,0,138.97
"Simple BPA-free plastic water bottle, twist cap 500ml",accessories,5.51,58,0,0,17.45
"Budget wired earbuds, basic stereo sound with inline mic",electronics,8.8,35,0,0,10.35
"Luxury silk scarf, limited edition botanical pattern by artisan designer",accessories,142.31,32,0,0,138.82
"Organic single origin Ethiopian coffee beans, light roast notes of blueberry",food,23.0,35,0,1,37.69
"Luxury hand-poured soy candle, wild fig and cassis scent",home,70.42,25,0,1,85.91
"Clear stackable plastic storage bin, medium size with lid",home,7.8,29,1,1,16.55
"Store brand orange juice from concentrate, standard carton",food,2.44,45,0,1,10.39
"Luxury silk scarf, limited edition botanical pattern by artisan designer",accessories,148.54,42,1,0,149.98
"Generic lemon scented dish soap, standard 500ml squeeze bottle",home,2.65,39,0,1,18.29
"Bespoke leather journal, hand stitched with archival cotton paper",accessories,57.54,65,0,1,68.85
"Simple BPA-free plastic water bottle, twist cap 500ml",accessories,5.38,46,0,1,16.02
"Premium ultrasonic essential oil diffuser, sustainable bamboo housing",home,55.64,30,0,1,66.19
"Clear plastic food storage container set, snap lid microwave safe",home,8.26,45,1,1,21.84
"Bespoke leather journal, hand stitched with archival cotton paper",accessories,75.65,48,0,0,80.22
"Generic alkaline AA batteries, standard pack of eight",electronics,5.54,69,0,1,15.03
"Biodegradable bamboo toothbrush set, charcoal infused soft bristles",accessories,10.12,48,0,1,29.22
"Premium vacuum insulated stainless steel bottle, keeps cold 24hr",accessories,50.22,70,1,1,68.4
"Handmade ceramic mug, unique wood-fired glaze by local potter",home,38.34,52,0,1,49.24
"Generic drawstring tall kitchen trash bags, 30 count roll",home,5.45,32,0,0,5.18
"Generic fluoride mint toothpaste, standard 150ml tube",accessories,1.67,33,0,1,6.35
"Luxury silk scarf, limited edition botanical pattern by artisan designer",accessories,124.91,32,1,0,128.26
"Natural Belgian linen tablecloth, hand-hemmed edges",home,139.14,65,0,0,143.02
"Standard plastic clothes hangers, adult size pack of 10",home,4.99,18,0,1,9.91
"Organic single origin Ethiopian coffee beans, light roast notes of blueberry",food,20.7,47,0,0,22.85
"Luxury hand-poured soy candle, wild fig and cassis scent",home,67.16,57,0,0,82.1
"Unscented white tea light candles, paraffin bulk pack of 20",home,2.58,58,1,1,26.52
"Basic foam sole flip flops, solid color unisex design",clothing,4.36,28,0,1,19.03
"Standard aluminum foil roll, 30 feet household grade",home,3.16,39,0,1,15.79
"White unprinted paper napkins, two ply bulk pack of 200",home,3.39,51,1,1,22.87
"Standard aluminum foil roll, 30 feet household grade",home,3.58,56,1,1,29.14
"White unprinted paper napkins, two ply bulk pack of 200",home,4.56,39,1,1,19.43
